idArea,nombre_area,descripcion,id_subarea
1,Base de Datos,Almacenamiento de informacion,0
2,Comercio Electronico,,0
3,Computacion Grafica,,0
4,Evaluacion y Auditoria de Sistemas,,0
5,Ingenieria de Produccion,,0
6,Ingenieria de Software,,0
7,Inteligencia Artificial,,0
8,Interaccion Humano Computador,,0
9,Investigacion Operativa,,0
10,Matematica Computacional,,0
11,Programacion en Internet,,0
12,Redes y Sistemas Distribuidos,,0
13,Simulacion,,0
14,Sistemas de Informacion,,0
15,Tecnologias de Control,,0
16,Teoria de la Computacion,,0
17,Bases de Datos,,1
18,Bases de Datos Orientados a Objetos,,1
22,Sistemas Multimedios e Hipermedios,,1
23,Sintesis de Imagenes,,3
24,Animacion,,3
25,Procesamiento de Imagenes,,3
26,Modelamiento Geometrico,,3
27,Sistemas CAD,,3
28,Dise&ntilde;o de Interfaces,,3
29,Realidad Virtual,,3
30,Antropometria,,5
31,Ergonomia,,5
32,Fisiologia,,5
33,Interfaces Cooperativas,,5
34,Interfaces de Usuario,,5
35,Psicologia Cognitiva,,5
36,Arquitectura de Software,,6
37,Desarrollo de Sistemas Orientados a Objetos,,6
38,Especificacion y Dise&ntilde;o de Software,,6
39,Gerencia del Proceso de Desenvolvimiento y Mantenimiento de Software,,6
40,Metodologias de Programacion,,6
41,Objetos Distribuidos,,6
42,Reingenieria,,6
44,Sistemas de Informacion Geogr�fica,,6
46,Algoritmos Gen�ticos,,7
47,Aut�matas Celulares,,7
48,L�gica Matematica,,7
49,L�gicas no Cl�sicas y Probadores de Teoremas,,7
51,Procesamiento de Lenguaje Natural,,7
52,Redes Neuronales,,7
53,Rob�tica,,7
54,Sistemas Bayesianos,,7
55,Sistemas de Programacion de Produccion,,7
57,Log�stica,,8
58,Planeamiento y Control de Produccion,,8
59,Sistemas de Gestion de C�lidad y Produccion,,8
60,Contabilidad,,10
61,Estad�stica,,10
62,M�todos N�mericos,,10
63,Proyectos y An�lisis de Algoritmos,,10
64,Comunicacion de Datos: Protocolos y Sistemas,,12
65,Procesamiento Paralelo,,12
66,Programacion Concurrente,,12
70,Control y Automatizacion Industrial,,15
71,Microcontroladores,,15
72,Sistemas de Tiempo Real,,15
73,Algoritmos Geom�tricos,,16
74,Animacion de Algoritmos,,16
75,Compiladores,,16
76,Construccion de Compiladores Orientados a Objeto,,16
77,Especificacion Formal de Lenguajes de Programacion,,16
78,Lenguaje Natural,,16
79,M�todos Formales de la Ingenieria de Software,,16
80,Modelamiento del Proceso de Desenvolvimiento de Software,'',16
83,Portales Web, ,11
84,Paradigma Orientado a Objetos, ,16
85,Bioinformatica, ,
86,Interfaces Cooperativas, ,85
87,Telecomunicaciones , ,
91,Generacion de Codigo Interfaz , ,8
92,Vida Artificial  , ,7
93,Ingenieria de Requerimientos , ,6
94,Ambientes automatizados  , ,6
95,Sistemas Evolutivos, ,7
96,Base deDatos Temporales, ,1
97,Base de Datos Distribuidos, ,1
98,Matematica computacional, ,13
99,Base de Datos Multidimensional, ,1
100,Programacion Funcional , ,
102,Sistemas Operativos , ,
103,Sistemas Operativos de PC , ,102
104,Sistemas academicos,"El proposito de estos sistemas es la capacitacion de los estudiantes en el uso manejo, construcion, modificacion y disenio de sistemas operativos",102
105,Sistemas transaccionales,Estos sistemas basan su funcionamiento en el tipo de transacciones que realizan,14
106,Recuperacion de la informacion,Sistemas cuya problematica central en la manera en que recuperan la informacion,
108,Programacion para Internet,Todo lo referente a la programacion en Internet,11
109,Simulacion de Sistemas,El uso de modelos matematicos para la simulacion de sistemas ,10
110,Automatizacion de procesos,En esta �rea se tratan los temas de automatizacion de procesos en todos los campos,
111,Bases de Datos Dinamica,Bases de Datos Dinamica,1
112,Sistema de Gestion empresarial,D,14
113,Base de Datos Relacionales,Sin informacion,1
114,Sistemas Administrativos,Sin informacion,14
115,M�todos num�ricos algebraicos,Sin informacion,10
116,Ingenieria de Sistemas,Sin informacion,
117,Ingenieria de la usabilidad,Sin informacion,
118,Usabilidad,Sin informacion,117
119,Trabajos Colaborativos,Sin informacion,12
120,Arquitectura de Computadoras,Sin informacion.,15
123,Evaluacion y Auditoria de Sistemas, ,4
124,Sistema educativo,Sin Informacion,6
125,Servidores de Audio,Sin Informacion,102
126,Sistemas Inteligentes,Sin Informacion,7
127,Interfaz de Usuario,Sin informacion,
128,Accesibilidad,Sin informacion,127
129,Seguridad en Redes,Sin informacion,12
130,Trabajo Colaborativo,Sin informacion,11
131,Desarrollo e Investigacion,Sin descripcion,8
133,Redes de Optimizacion,Sin descripcion,9
134,Sistemas Multiagente,Sin descripcion,7
135,Comunidades Virtuales,Sin descripcion,11
136,Tecnologia de Informacion y Comunicacion (TIC),Sin descripcion,
137,Disenio de Sistemas,Sin descripcion,14
138,Entornos virtuales,Sin descripcion,6
139,An�lisis de Patrones,Sin descripcion,3
140,Educacion Superior en Inf.,Sin descripcion,
141,Epistemologia,Sin descripcion,140
142,Meto. de disenio curricular,Sin descripcion,140
143,Tecnologias de Desarrollo,Sin descripcion,
144,Procesos de Desarrollo,Procesos de desarrollo de software,6
145,Metodologia de desarrollo,Metodologias de desarrollo de software,6
146,Frameworks,Uso de frameworks para el desarrollo de aplicaciones,11
148,Computacion Grafica,-,3
149,Seguridad Inform�tica,Seguridad Inform�tica en Sistemas Computacionales,
150,Criptografia Aplicada,-,149
151,Gestion de Sistemas,"La informacion que se maneja en una base de datos de una entidad financiera es de vital importancia, para ello se lleva un proceso el cual se desarrollar� para verificar como se encuentran los datos, como actuar�n ellos tras alg�n percance que pueda ocurrir y sobre todo la continuidad que puede tener la entidad con estos problemas y como se resolver�n para que no ocurran en un futuro y mantenerlos controlados.",
152,Accesibilidad Web,'',
153,Motores de B�squeda,'',
154,Ingenieria de Software Educativo,'',
155,Servicios Web,SW es un conjunto de protocolos y estandares que sirven para intercambiar datos entre aplicaciones.,217
156,Sistemas de Telecomunicaion,'',
157,Sistemas de Telecomunicacion,'',
158,Migracion de contenidos de CMS,'',
159,Sistemas de Informacion Web,'',
160,"Planificacion, Control y Gestion",'',
161,M�sica Artificial,Creacion de musica a travez de algoritmos que proveen mecanismos de composicion,
162,Gestion de Transacciones,Se trata el problema de asegurar la bd en un estado consistente a�n en casos de acceso concurrente,
163,Simulacion de Redes,Sin descripcion,12
164,Vision por Computador,Descripcion,7
165,Ingenieria de tecnologia e informacion (IT),'',
166,Modelacion y simulacion,'',
167,Dinamica de sistemas,'',
